detector;screenshot_path;artifact_goal;artifacttype_retrieved;features_extracted;matching_finished;total;found;match_count
orb;\\VBOXSVR\evaluation_screenshots\04_Targeted_IT_Abteilung-Schwer-3-1.png;01_Jibberish-Mittel;191,8395;416,8149;119,7911;728,4455;False;0
orb;\\VBOXSVR\evaluation_screenshots\04_Targeted_IT_Abteilung-Schwer-3-2.png;01_Jibberish-Mittel;197,6392;195,6271;123,5817;516,848;False;0
orb;\\VBOXSVR\evaluation_screenshots\04_Targeted_IT_Abteilung-Schwer-4-1.png;01_Jibberish-Mittel;212,6486;301,9385;114,1715;628,7586;False;0
orb;\\VBOXSVR\evaluation_screenshots\04_Targeted_IT_Abteilung-Schwer-4-2.png;01_Jibberish-Mittel;201,1135;197,8186;123,7938;522,7259;False;0
orb;\\VBOXSVR\evaluation_screenshots\04_Targeted_IT_Abteilung-Schwer-5-1.png;01_Jibberish-Mittel;115,6061;282,9047;194,5519;593,0627;False;0
orb;\\VBOXSVR\evaluation_screenshots\04_Targeted_IT_Abteilung-Schwer-5-2.png;01_Jibberish-Mittel;137,0274;177,2411;214,1612;528,4297;False;0
orb;\\VBOXSVR\evaluation_screenshots\05_Newsletter-Schwer-1-1.png;01_Jibberish-Mittel;304,3509;108,9462;109,5506;522,8477;False;0
orb;\\VBOXSVR\evaluation_screenshots\05_Newsletter-Schwer-2-1.png;01_Jibberish-Mittel;199,3595;199,9151;288,7882;688,0628;False;0
orb;\\VBOXSVR\evaluation_screenshots\05_Newsletter-Schwer-3-1.png;01_Jibberish-Mittel;278,1321;134,7604;114,7625;527,655;False;0
orb;\\VBOXSVR\evaluation_screenshots\05_Newsletter-Schwer-4-1.png;01_Jibberish-Mittel;199,9621;239,1513;201,9592;641,0726;False;0
orb;\\VBOXSVR\evaluation_screenshots\05_Newsletter-Schwer-5-1.png;01_Jibberish-Mittel;125,4539;279,1528;210,9364;615,5431;False;0
orb;\\VBOXSVR\evaluation_screenshots\06_Versichertenkarte-Schwer-1-1.png;01_Jibberish-Mittel;212,8223;204,4288;114,6694;531,9205;False;0
orb;\\VBOXSVR\evaluation_screenshots\06_Versichertenkarte-Schwer-1-2.png;01_Jibberish-Mittel;191,0059;100,7602;225,714;517,4801;False;0
orb;\\VBOXSVR\evaluation_screenshots\06_Versichertenkarte-Schwer-1-3.png;01_Jibberish-Mittel;385,4129;110,6187;118,1271;614,1587;False;0
orb;\\VBOXSVR\evaluation_screenshots\06_Versichertenkarte-Schwer-1-4.png;01_Jibberish-Mittel;198,1516;98,6417;224,0601;520,8534;False;0
orb;\\VBOXSVR\evaluation_screenshots\06_Versichertenkarte-Schwer-2-1.png;01_Jibberish-Mittel;220,8784;304,3271;178,0513;703,2568;False;0
orb;\\VBOXSVR\evaluation_screenshots\06_Versichertenkarte-Schwer-2-2.png;01_Jibberish-Mittel;137,234;398,0986;111,0685;646,4011;False;0
orb;\\VBOXSVR\evaluation_screenshots\06_Versichertenkarte-Schwer-2-3.png;01_Jibberish-Mittel;203,6565;305,2586;135,5125;644,4276;False;0
orb;\\VBOXSVR\evaluation_screenshots\06_Versichertenkarte-Schwer-2-4.png;01_Jibberish-Mittel;297,6646;209,032;219,3355;726,0321;False;0
orb;\\VBOXSVR\evaluation_screenshots\06_Versichertenkarte-Schwer-3-1.png;01_Jibberish-Mittel;190,9285;407,9665;125,073;723,968;False;0
orb;\\VBOXSVR\evaluation_screenshots\06_Versichertenkarte-Schwer-3-2.png;01_Jibberish-Mittel;132,6678;299,8314;301,0738;733,573;False;0
orb;\\VBOXSVR\evaluation_screenshots\06_Versichertenkarte-Schwer-3-3.png;01_Jibberish-Mittel;132,0691;385,2508;129,0588;646,3787;False;0
orb;\\VBOXSVR\evaluation_screenshots\06_Versichertenkarte-Schwer-3-4.png;01_Jibberish-Mittel;236,621;280,3629;184,2188;701,2027;False;0
orb;\\VBOXSVR\evaluation_screenshots\06_Versichertenkarte-Schwer-4-1.png;01_Jibberish-Mittel;190,2619;503,839;118,841;812,9419;False;0
orb;\\VBOXSVR\evaluation_screenshots\06_Versichertenkarte-Schwer-4-2.png;01_Jibberish-Mittel;192,1516;320,5774;212,9791;725,7081;False;0
orb;\\VBOXSVR\evaluation_screenshots\06_Versichertenkarte-Schwer-4-3.png;01_Jibberish-Mittel;223,5769;204,8081;121,8156;550,2006;False;0
orb;\\VBOXSVR\evaluation_screenshots\06_Versichertenkarte-Schwer-4-4.png;01_Jibberish-Mittel;135,4124;495,8833;114,6604;745,9561;False;0
orb;\\VBOXSVR\evaluation_screenshots\06_Versichertenkarte-Schwer-5-1.png;01_Jibberish-Mittel;202,9658;236,2296;189,5452;628,7406;False;0
