detector;screenshot_path;temp;artifact_visible;artifact_goal;artifacttype_retrieved;features_extracted;matching_finished;total;found;match_count;goal
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_java-1-4.png;exe_updater_java-1-4.png;exe_updater_java;01_Jibberish-Mittel;198,6254;123,5936;102,2655;424,4845;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_java-1-5.png;exe_updater_java-1-5.png;exe_updater_java;01_Jibberish-Mittel;204,7683;110,611;199,7909;515,1702;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_java-1-6.png;exe_updater_java-1-6.png;exe_updater_java;01_Jibberish-Mittel;276,2345;123,5769;179,5858;579,3972;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_java-1-7.png;exe_updater_java-1-7.png;exe_updater_java;01_Jibberish-Mittel;133,6773;182,8091;183,4382;499,9246;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_java-1-8.png;exe_updater_java-1-8.png;exe_updater_java;01_Jibberish-Mittel;130,1738;191,9769;109,4503;431,601;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_java-2-1.png;exe_updater_java-2-1.png;exe_updater_java;01_Jibberish-Mittel;136,3533;399,9556;110,0155;646,3244;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_java-2-2.png;exe_updater_java-2-2.png;exe_updater_java;01_Jibberish-Mittel;184,8578;415,1288;200,9448;800,9314;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_java-2-3.png;exe_updater_java-2-3.png;exe_updater_java;01_Jibberish-Mittel;198,9217;596,8921;119,8862;915,7;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_java-2-4.png;exe_updater_java-2-4.png;exe_updater_java;01_Jibberish-Mittel;193,1182;314,0961;200,0589;707,2732;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_java-2-5.png;exe_updater_java-2-5.png;exe_updater_java;01_Jibberish-Mittel;206,9587;331,1581;196,5043;734,6211;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_java-2-6.png;exe_updater_java-2-6.png;exe_updater_java;01_Jibberish-Mittel;191,9112;630,4096;126,9727;949,2935;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_java-2-7.png;exe_updater_java-2-7.png;exe_updater_java;01_Jibberish-Mittel;131,7506;309,2679;187,1818;628,2003;False;0;False
